name,overview,first_air_date,rating,vote_count,review
The Munsters,A family of friendly monsters that have misadventures all while never quite understanding why people react to them so strangely.,1964-09-24,7.9,442,No reviews
The Fresh Prince of Bel-Air,"Will, a street-smart teenager, moves from the tough streets of West Philly to posh Bel-Air to live with his Uncle Philip, Aunt Vivian, his cousins — spoiled Hilary, preppy Carlton and young Ashley — and their sophisticated British butler, Geoffrey. Though Will’s antics and upbringing contrast greatly with the upper-class lifestyle of his extended relatives, he soon finds himself right at home as a loved part of the family.",1990-09-10,7.9,2345,"After the end of the 80s and right in the beginning of the 90s, we had a whole new kind of comedy show. Fresh Prince of Bel-Air was something new in the sitcom world, something 'fresh'.
It was also the same show that catapulted Will Smith to fame.
And while every episode was funny, it also made aw"
ted,"It's 1993 and Ted the bear's moment of fame has passed, leaving him living with his best friend, 16-year-old John Bennett, who lives in a working-class Boston home with his parents and cousin. Ted may not be the best influence on John, but when it comes right down to it, he's willing to go out on a limb to help his friend and his family.",2024-01-11,7.922,520,No reviews
The Testament of Sister New Devil,"Toujou Basara is a high school student whose father has suddenly just remarried. His father then departs overseas leaving Basara with two new beautiful step-sisters. Little does he know, his new sisters, Mio and Maria are actually the new Demon Lord and a succubus!? Almost trapped into a life of servitude, Basara forms a reverse contract by accident and ends up becoming Mio's master! Hijinks ensue as Basara finds himself in one ecchi situation after another. However, Mio's life is in danger as she is pursued by demons and heroes!",2015-01-07,7.9,331,No reviews
Pokémon,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997-04-01,7.9,2019,No reviews
El Señor de los Cielos,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",2013-04-15,7.9,3336,No reviews
Hwarang: The Poet Warrior Youth,An elite group of young warriors trained in morals and martial arts finds love and friendship in Silla during Korea’s ancient Three Kingdoms period.,2016-12-19,7.9,270,"I wanted  Lee Kwang Soo to take on a meatier role in that drama, but alas, he was just there as a guest. I usually like Choi Won Young in serious roles but I hate Choi Won Young when he pretends to be looking serious which was what he went for in this drama. Don't expect a 20-episodes worth of conte"
Desperate Housewives,"Looking down on her friends and family isn't a way of life for Mary Alice Young... it's a way of death. One day, in her perfect house, in the loveliest of suburbs, Mary Alice ended it all. Now she's taking us into the lives of her family, friends and neighbors, commenting from her elevated P.O.V.",2004-10-03,7.919,1961,No reviews
Elite Short Stories: Guzmán Caye Rebe,"Rebe hosts an intimate house warming party for her friends, but the situation takes a dramatic turn with the help of drugs and unexpected visitors.",2021-06-14,7.9,311,No reviews
Baby,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",2018-11-30,7.9,878,No reviews
Good Luck Charlie,"Teens PJ and Teddy and tween brother Gabe are typical kids -- that is, until their mother has another baby. The arrival of their new sister completely upends the entire household. When their mother heads back to work after Charlie's birth, it's up to the kids and their dad to keep the home fires burning -- and to keep Charlie out of trouble as she learns to sit up, crawl, walk and run. Teddy, as the older sister, makes a personalized video diary for Charlie, in each episode adding a nugget of wisdom for her baby sibling.",2010-04-04,7.9,421,No reviews
Boston Legal,Alan Shore and Denny Crane lead a brigade of high-priced civil litigators in an upscale Boston law firm in a series focusing on the professional and personal lives of brilliant but often emotionally challenged attorneys. A spin-off of long-running series The Practice.,2004-10-03,7.9,341,No reviews
Spaced,"Spaced: the anti-Friends, in that it examines the lives of common 20 somethings, but in a way that is more down to earth and realistic. Here we have Daisy and Tim; two 'young' adults with big dreams just trying to get by in this crazy world. They are thrown together in a common pursuit of tenancy, which they find by posing as a couple. The house has a landlady and an oddball artist living there. The series explores the ins and outs of London living.",1999-09-24,7.9,467,No reviews
Doom at Your Service,A woman with only a short time to live and a man with the supernatural power to bring the world to an end discover the true meaning of life and love.,2021-05-10,7.9,494,"I've never seen a drama that purposely go out of its way to avoid doing anything interesting with its scenario this hard. It took three full episodes just to do a basic introduction as stated in the synopsis, only then, the story somewhat started. Earlier in the second half, the drama reached a poin"
Fairy Tail,"Lucy is a 17-year-old girl, who wants to be a full-fledged mage. One day when visiting Harujion Town, she meets Natsu, a young man who gets sick easily by any type of transportation. But Natsu isn't just any ordinary kid, he's a member of one of the world's most infamous mage guilds: Fairy Tail.",2009-10-12,7.9,986,No reviews
Tengoku Daimakyo,"In the year 2024, the world has collapsed. Grotesque monsters lurk amongst the ruins of Japan, while remaining people scrape together what they can to survive. Kiruko, an odd-job girl in Nakano, accepts a mysterious woman's dying wish to take a boy named Maru to a place called Heaven. Maru is convinced that there will be a boy there who looks exactly like him.",2023-04-01,7.9,225,No reviews
Jane the Virgin,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",2014-10-13,7.915,874,No reviews
Angel Beats!,"Angel Beats takes place in the afterlife and focuses on Otonashi, a boy who lost his memories of his life after dying. He is enrolled into the afterlife school and meets a girl named Yuri who invites him to join the Afterlife Battlefront — an organization she leads which fights against God. The Battlefront fight against the student council president Angel, a girl with supernatural powers.",2010-04-03,7.915,434,No reviews
FBI,"The New York office of the FBI brings to bear all their talents, intellect and technical expertise on major cases in order to keep their city and the country safe.",2018-09-25,7.9,854,No reviews
Supernatural: The Anime Series,"The anime re-imagining of the original live-action series follows the Winchester brothers Sam and Dean as they hunt creatures and other supernatural phenomena in the American countryside. The storyline covers the first two seasons of the live-action version, as well as original episodes.",2011-01-12,7.9,255,No reviews
The Big Bang Theory,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,2007-09-24,7.912,11943,"**What this review might have sounded like had I written it 7 years ago.**

The first few seasons are, for the most part, extremely fantastic, focused, funny, fresh, intelligent and even at times, brilliant. Most importantly, it offers something that separates it from the pack...Must see TV!

**"
Carnivàle,"Carnivàle is an American television series set in the United States during the Great Depression and Dust Bowl. In tracing the lives of two disparate groups of people, its overarching story depicts the battle between good and evil and the struggle between free will and destiny; the storyline mixes Christian theology with gnosticism and Masonic lore, particularly that of the Knights Templar.",2003-09-14,7.9,432,"This show was insanely cool and had the potential to be one of HBO's best ever shows. Seriously, I'd take these two seasons over just about anything the premium channel has put out. There's a level of creativity and thoughtfulness that is near unheard of in TV. Unfortunately, these seasons amount to"
Presumed Innocent,A horrific murder upends the Chicago Prosecuting Attorney's Office when one of its own is suspected of the crime—leaving the accused fighting to keep his family together.,2024-06-11,7.9,490,No reviews
The Sandman,"After years of imprisonment, Morpheus — the King of Dreams — embarks on a journey across worlds to find what was stolen from him and restore his power.",2022-08-05,7.909,2376,"Gaiman is good. I can't speak of the adaptation, as I could not be bothered to check out the comics. But, by current standards, the story is very good. It has holes, but overall the story goes smooth. I can see the roots of *American Gods* in *The Sandman*.

The casting is good. The acting is smoo"
Kid vs. Kat,"Kid vs. Kat is a Canadian-American animated television series developed and produced at Studio B Productions. The show was created and co-directed by Rob Boutilier. The series is distributed by Studio B Productions. The feature revolves around a 10-year-old boy's constant battle with his sister's Sphinx cat which, in reality, is a cybernetic alien.

The show premiered on YTV in Canada on October 25, 2008, aired on Disney XD in the United States on February 21, 2009, and then ended on June 4, 2011. It ran for 2 seasons, spanning 52 episodes.",2008-10-25,7.9,312,No reviews
Generation Kill,The first 40 days of the war in Iraq as seen through the eyes of an elite group of U.S. Marines who spearheaded the invasion along with an embedded Rolling Stone reporter. A vivid account of the soldiers and of the forces that guided them in an often-improvised initiative.,2008-07-13,7.9,464,No reviews
Goosebumps,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995-10-27,7.9,606,No reviews
Jesus,,2018-07-24,7.9,292,No reviews
Barry,A listless hitman is enthralled by theatre acting and becomes eager to leave his old life behind in pursuit of a new career.,2018-03-25,7.9,1019,"(Review only for s1)

After watching the last episode of the season, I had this tingly feeling in my back of deja vu, and I spent a good fifteen minutes trying to find the source- which I found in the show “You”. Both shows depict this character trying to wash away their murderous tendencies and h"
Rizzoli & Isles,"Perhaps their strikingly different personalities make the relationship between detective Jane Rizzoli and medical examiner Maura Isles so effective. Jane, the only female cop in Boston's homicide division, is tough, relentless and rarely lets her guard down, while the impeccably dressed Maura displays a sometimes icy temperament — she is, after all, more comfortable among the dead than the living. Together, the best friends have forged a quirky and supportive relationship; they drop the protective shield in each other's company, and combine their expertise to solve Boston's most complex cases.",2010-07-12,7.9,448,No reviews
Hellsing,"Vampires exist. It is the duty of Hellsing, an organization sponsored by the British government, to hide that frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing’s vampire exterminator. Seras is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined...",2001-10-11,7.903,548,No reviews
Baki the Grappler,"Baki Hanma is a young fighter who yearns to follow in the footsteps of his father, Yujiro, and become the strongest fighter in the world. Through that he trains tirelessly and fights constantly to hone his skills and develop his body to achieve these goals. Many intense battles lay ahead of Baki as he goes about his quest to be the best and ultimately take the title of ""King"" from his father.",2001-01-08,7.9,328,No reviews
Hasta que el dinero nos separe,"Hasta Que el Dinero Nos Separe is a telenovela produced by Emilio Larrosa. It is a remake of the Colombian soap opera Hasta Que la Plata Nos Separe. Hasta Que el Dinero Nos Separe stars Itatí Cantoral, Pedro Fernández, Victor Noriega, Luz Elena González and Joana Benedek. The telenovela made its debut on June 29, 2009 at 8 pm in Mexico's Canal de las Estrellas, in HD in some markets, and January 18, 2010 at 8/7 pm USA's Univision, starting on April 26, 2010, it aired from 8 pm est to 10 pm est in HD in some markets, until June 1, 2010, when Soy Tu Dueña premiered on Univision at 9pm, thus returning the novela back to its former one hour airing time. On February 16, 2010 Hasta Que El dinero nos separe premiered on internet TV's bsn Latino.

""The Best Telenovela of the Year 2010.""",2009-06-29,7.9,687,No reviews
Lie to Me,"The world's leading deception researcher, Dr. Cal Lightman, studies facial expression, body language and tone of voice to determine when a person is lying and why, which helps law enforcement and government agencies uncover the truth. But his skills also make it easier for him to deceive others.",2009-01-21,7.9,1581,No reviews
Why Women Kill,"Three women living in three different decades: a housewife in the '60s, a socialite in the '80s and a lawyer in 2018, deal with infidelity in their marriages.",2019-08-15,7.9,337,No reviews
Impractical Jokers,"This hidden-camera series follows four lifelong friends -- Brian ""Q""' Quinn, James ""Murr""' Murray, Joe Gatto and Sal Vulcano -- who take dares to an outrageous level. To find out who is best under pressure, the guys compete in awkward and outrageous hidden-camera hijinks with the loser performing what is deemed to be the most-mortifying challenge yet.",2011-12-15,7.9,382,No reviews
Clase 406,"The realistic chronicles of a working class group of Hispanic youth, with heavy subject matter like sex, drug dealing, teen pregnancy, abuse, drinking, rape, deception, and heartbreak.",2002-07-01,7.9,254,No reviews
PLUTO,"When the world's seven most advanced robots and their human allies are murdered one by one, Inspector Gesicht soon discovers that he's also in danger.",2023-10-26,7.9,203,No reviews
Titans,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,2018-10-12,7.9,2749,"Oh, the culture war strikes again.

Tell me exactly how it's ""racist"" to point out that the only costume that had any money behind it was Nightwings? What exactly is not woke about that?

Honestly I got my nephew a cheap plastic cyborg costume that looks like the one on this mess, and he looks s"
Taboo,Adventurer James Keziah Delaney returns to London from Africa in 1814 along with fourteen stolen diamonds to seek vengeance after the death of his father.,2017-01-07,7.897,1352,No reviews
Police Squad!,"In this cult parody of cop dramas, replete with farce and sight gags, Lieutenant Frank Drebin and his fellow officers from Police Squad bungle their way though crime investigations.",1982-03-04,7.9,394,No reviews
The Moon Embracing the Sun,"Years after she's assumed dead by the palace, a young noblewoman, now trained as a shaman, returns to court to reclaim her rightful position as queen.",2012-01-04,7.9,225,What even was that?! I would have rather gotten lost in a liminal space than watching this. The entire portion of the plot involving the kids was absurd and uncomfortable. They had no idea how to structure the narrative with the kids which led to a handful of subsequent problems that couldn't be fix
Psych,"Thanks to his police officer father's efforts, Shawn Spencer spent his childhood developing a keen eye for detail (and a lasting dislike of his dad). Years later, Shawn's frequent tips to the police lead to him being falsely accused of a crime he solved.

Now, Shawn has no choice but to use his abilities to perpetuate his cover story: psychic crime-solving powers, all the while dragging his best friend, his dad, and the police along for the ride.",2006-07-07,7.899,887,"I've seen all the episodes of psych at least 16 times, you get so addicted to this show and you can't stop watching it!!!! Me and my little sister watched it all the time when it was on Netflix then they took if off which was super upsetting I strongly recommend this show it's hilarious and suspense"
Pachinko,"Follow the hopes and dreams of four generations of a Korean immigrant family beginning with a forbidden love and crescendos into a sweeping saga that journeys between Korea, Japan and America to tell the unforgettable story of war and peace, love and loss, triumph and reckoning.",2022-03-24,7.9,224,No reviews
Black,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past.",2017-10-14,7.895,397,No reviews
Free Rein,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",2017-06-22,7.9,205,No reviews
Gilmore Girls,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000-10-05,7.894,1143,"This is a good show. My wife watched the entire set of series without me as it seemed we already had a lot to watch together. She enjoyed it and at some point I decided to watch it and she elected to watch it again with me. 

It is very witty and intelligent and, if you don’t mind every episode us"
Shopaholic Louis,"A romance takes place between Kang Ji-Sung aka Louie and Ko Bok-Sil. Louie is from a rich family, but he has lost his memory. Ko Bok-Sil is a woman with a heart like an angel. Louie learns about true love after meeting Ko Bok-Sil.",2016-09-21,7.9,219,No reviews
Ghosts,"A cash-strapped young couple inherits a grand country house, only to find it is both falling apart and teeming with the ghosts of former inhabitants.",2019-04-15,7.9,214,"Ghosts is one of those series you want to like but to me its a comedic shadow of what it could be. In my view its biggest shortcoming is a simple one, its not that funny. 

I found much of the humour was based on exposition. In spite of assumptions to the contrary I personally feel its quite hard "
Dungeons & Dragons,Six friends are transported into the Dungeons & Dragons realm and must try to find a way home with the help of their guide 'Dungeon Master'.,1983-09-17,7.9,253,"I don't know why, but the ending theme tune always makes me feel nolstagic!😭"
Wynonna Earp,Wyatt Earp's great granddaughter Wynonna battles demons and other creatures with her unique abilities and a posse of dysfunctional allies - the only thing that can bring the paranormal to justice.,2016-04-01,7.9,779,"When it first appeared on the scene Wynonna Earp was never going to be sensational. That said its quirky, off beat, B grade mix of horror, in a contemporary Western setting, worked quite well.

Regrettably as the series progressed its focus on entertainment seemed, in part, to fall away. It's ofte"
Blue Exorcist,"Humans live in the world of Assiah, demons in Gehenna. The two dimensions are not meant to interfere with each other, but demons still possess creatures in Assiah in spite of this. The humans who can fight these demons are known as exorcists. Rin Okumura is a boy who bears the curse of being Satan's illegitimate son. His foster father sacrificed himself to save him from demons. To avenge his foster father's death as well as to prove himself, Rin decides to follow the path of an exorcist and defeat his own father, Satan. To hone his raw skills, Rin enters True Cross Academy to train with other exorcist candidates.",2011-04-17,7.9,485,"Quite good graphics - I liked the anime especially because of the story, the characters good animation and its positive push."
Big Little Lies,The tale of three mothers of first graders whose apparently perfect lives unravel to the point of murder.,2017-02-19,7.889,1577,"**A BIG mystery surrounding LITTLE kids and their LIES.**

SEASON 01:

I neither read the book nor I knew the story. So this was a surprise mini-series. As far I've heard, this one was the finest adaptation. The best ever cast and the episodes were well split with each one had a great opening an"
The 100,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014-03-19,7.9,8362,"This show is a hook and really interesting, and most definitely one of the best TV shows I've ever watched. Continually challenged my reasoning on leadership decisions and taking responsibilities, especially when one is faced with few or no options.Lots of gritty moments, full of suspense, and you w"
Mobile Cop Jiban,Naoto detective Jiban fights for justice against Bioron and his evil plans to conquer the world.,1989-01-29,7.9,215,No reviews
Rosario + Vampire,"An ordinary high school boy fails to get into any private academy except one — which happens to be populated by supernatural creatures disguised as humans. To survive, he has to pretend that he is one of them and blend in.",2008-01-03,7.892,279,No reviews
Law & Order: Organized Crime,The detectives of the Organized Crime Control Bureau work to dismantle New York City's most vicious and violent illegal enterprises.,2021-04-01,7.9,275,"Law & Order: Organized Crime - love the classic characters back in action! But come on, enough with the never-ending investigations! We used to get a resolution in one episode on the original Law & Order. This multi-season chase for a single criminal mastermind is a slog.  The old recipe worked perf"
How Not to Summon a Demon Lord,"When it comes to the fantasy MMORPG Cross Reverie, none can match the power of the Demon King Diablo. Possessing the game’s rarest artifacts and an unrivaled player level, he overpowers all foolish enough to confront him. But despite his fearsome reputation, Diablo’s true identity is Takuma Sakamoto, a shut-in gamer devoid of any social skills. Defeating hopeless challengers day by day, Takuma cares about nothing else but his virtual life—that is, until a summoning spell suddenly transports him to another world where he has Diablo’s appearance!

In this new world resembling his favorite game, Takuma is greeted by the two girls who summoned him. They perform an Enslavement Ritual in an attempt to subjugate him, but the spell backfires and causes them to become his slaves instead. With the situation now becoming more awkward than ever, Takuma decides to accompany the girls in finding a way to unbind their contract while learning to adapt to his new existence as the menacing Demon King.",2018-07-05,7.9,324,No reviews
Corazón salvaje,A telenovela that dramatizes the romances and rivalries between two brothers and two sisters in Mexico between the years 1885 and 1900.,1992-12-31,7.9,599,No reviews
Phineas and Ferb,"Each day, two kindhearted suburban stepbrothers on summer vacation embark on some grand new project, which annoys their controlling sister, Candace, who tries to bust them. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",2007-08-17,7.9,947,No reviews
Star Trek: Deep Space Nine,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",1993-01-03,7.9,868,"Wait, this was Star Trek set on a space station? I mean, sure it was a good show, I can respect it for what it was, but TNG came out when I was 7 and, well, the 7 year-old in me would have LOVED THAT.

Had it come out when I was 7, it would have been better than TNG. I would have taken the Pepsi C"
Seraph of the End,"After a mysterious virus wipes out ninety percent of humanity, vampires emerge from the recesses of the earth to enslave mankind, treating them like livestock. After growing tired of donating blood in exchange for protection, 12-year-old Yuichiro Hyakuya and his best friend Mikaela Hyakuya plot an escape along with the other orphans. After being the only successful runaway, Yuichiro joins the Moon Demon Company, an extermination unit of the Japanese Imperial Demon Army dedicated to killing off vampires.",2015-04-04,7.9,418,No reviews
Tokyo Vice,"A first-hand account of the Tokyo Metropolitan Police beat following Jake Adelstein, an American journalist who embeds himself into the Tokyo Vice police squad to reveal corruption. Based on Jake Adelstein’s non-fiction book of the same name.",2022-04-07,7.9,325,No reviews
Hamtaro,"The cute and cuddly pet of 10-year-old Laura, Hamtaro is a small hamster with a big sense of adventure! Join Hamtaro and the adorable rodent rascals who captured the hearts of millions of children the world over.",2000-07-07,7.9,204,No reviews
The Envoys,Two Vatican officials with very different conceptions of what faith is are sent to different parts of the world to investigate and verify the veracity of alleged miracles and healings attributed to members of the church.,2021-12-12,7.9,289,No reviews
Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",2009-09-23,7.881,3057,No reviews
Pasión prohibida,"Pasión Prohibida is a Spanish-language telenovela produced by United States-based television network Telemundo Television Studios, Miami. It is a remake of the Turkish telenovela Aşk-ı Memnu by Ece Yörenç and Melek Gençoğlu. It has been adapted from Halit Ziya Uşaklıgil's novel Aşk-ı Memnu, published in 1900, but takes place in the modern-day Miami, instead of the novel's late 19th century setting. Jencarlos Canela and Mónica Spear starred as the protagonists.",2013-01-22,7.9,465,No reviews
Looking for Alaska,"Miles enrolls in a new boarding school seeking adventure. There, he befriends a group of quirky students led by the captivating and troubled Alaska. As they pull pranks and explore dark secrets, a night of celebration takes a tragic turn, forcing the group to grapple with loss and the complexities of growing up.",2019-10-19,7.9,593,No reviews
After Life,"Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on.",2019-03-08,7.9,955,"I didn't want to like this but it's so touching and human, what can I say it's well written and did upset me at times."
Ghosts,"Samantha and Jay throw caution to the wind when they convert their recently inherited country estate into a bed-and-breakfast. Call it mislaid plans. Not only is the place falling apart, but it’s also inhabited by spirits of previous residents -- whom only Samantha can see and hear.",2021-10-07,7.9,307,"For some reason my wife thinks this is better than the UK version...

... and I will give her the Viking. And I will give her the... wait, no, that is it just the Viking.

The rest is a copy, not as good as the original, and, honestly, as a historian the Native American just offends me. If it tu"
The Knick,"Set in downtown New York in 1900, 'The Knick' is centered on the Knickerbocker Hospital and its staff, notably Dr. John Thackery, the hospital's brilliant chief surgeon who pushes medicine's boundaries, pioneering new procedures despite a severe drug addiction.",2014-08-08,7.9,466,No reviews
Farscape,A freak accident during an experimental space mission catapults Astronaut John Crichton across a thousand galaxies to an alien battlefield.,1999-03-19,7.9,565,No reviews
The 13 Ghosts of Scooby-Doo,"Shaggy and Scooby-Doo and friends must return 13 ghosts which they inadvertently released to a magical chest. Together with Daphne and Scrappy-Doo, along with  newcomer Flim-Flam, they travel the world facing the ghosts that must be returned to the chest.",1985-09-07,7.9,224,No reviews
The Americans,"Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.",2013-01-30,7.876,988,No reviews
I Love Lucy,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951-10-15,7.9,236,"Is anyone else tired of this? Seriously, it first aired a year before my father was born and I don't think its been off the air sense.

But then, there is a reason for this, it represents the golden age of television...the first golden age at least.

It represents Americana and one of it's most "
Angel,"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption. A spin-off from Buffy the Vampire Slayer.",1999-10-05,7.9,945,"I usually do a 10 or 1 star review... and this doesn't deserve 1 star. For a spin-off series it's actually REALLY good. Save Frasier I don't think I've ever seen a spin-off this good.

After MASH? Nah. But it was better than Joey.

But it's still not Buffy, and Buffy had a formula that I absolut"
"What's New, Scooby-Doo?","Scooby-Doo and the Mystery, Inc. gang are launched into the 21st century, with new mysteries to solve.",2002-09-14,7.9,663,No reviews
For Life,"A prisoner becomes a lawyer, litigating cases for other inmates while fighting to overturn his own life sentence for a crime he didn’t commit.",2020-02-11,7.9,269,This is by far one of the best TV shows I have ever watched.  Can't imagine how this could be canceled. I was hooked after the first show.
Doctor Who,"The adventures of The Doctor, a time-traveling humanoid alien known as a Time Lord. He explores the universe in his TARDIS, a sentient time-traveling spaceship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, The Doctor faces a variety of foes while working to save civilizations, help ordinary people, and right many wrongs.",1963-11-23,7.9,669,"How do you review a show like Doctor Who that has been running for so long, enjoying dizzying highs and terrible lows (I'm looking at you The Twin Dilemma).

The concept is the most open there can be. With the TARDIS the show can go anywhere and any when. This lead to a huge range in the stories, "
The Gentlemen,"When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire — and its proprietors aren't going anywhere.",2024-03-07,7.9,622,"Pretty happy with this series! Actor playing Freddy does a great job of being insufferable. Not to spoil it, but the point at which we unmask who was behind some of the plot points was a little bit of a let-down. Still, the ending left me quite satisfied."
His Dark Materials,"Lyra is an orphan who lives in a parallel universe in which science, theology and magic are entwined. Her search for a kidnapped friend uncovers a sinister plot involving stolen children and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As she learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds.",2019-11-03,7.9,1781,"If you enjoy reading my Spoiler-Free reviews, please follow my blog @ https://www.msbreviews.com

This review will be from someone who doesn't remember a single thing about The Golden Compass (2007), and who didn't read the books. This series wasn't marketed like Watchmen, which requires previous "
Moses and the Ten Commandments,"The story begins in the city of Pi-Ramesses, in Egypt, at approximately 1300 B.C, when the powerful pharaoh Seti, orders the death of every male newborn in his hatred of the Hebrew people. Amidst the horrors of mass infanticide, one brave Hebrew family defies Pharaoh`s command and hides their child in a basket set afloat on the river Nile, trusting that God would carry him to safety.",2015-03-23,7.87,1077,Great movie!
Pretty Little Liars: Original Sin,"Twenty years ago, a series of tragic events almost ripped the blue-collar town of Millwood apart. Now, in the present day, a group of disparate teen girls finds themselves tormented by an unknown Assailant and made to pay for the secret sin their parents committed two decades ago, as well as their own.",2022-07-28,7.9,236,"This reboot has succeeded my expectations. It’s fun, it’s scary, it’s more diverse, they tackle some hard topics, and they still kept the best part from the original show… a beautiful showcasing of female friendships."
The Closer,"Deputy Police Chief Brenda Leigh Johnson transfers from Atlanta to LA to head up a special unit of the LAPD that handles sensitive, high-profile murder cases. Johnson's quirky personality and hard-nosed approach often rubs her colleagues the wrong way, but her reputation as one of the world's best interrogator eventually wins over even her toughest critics.",2005-06-13,7.9,317,No reviews
Scream Queens,The super-charged comedy-horror series is a modern take on the classic whodunit with a killer cast. ,2015-09-22,7.9,1756,No reviews
The Melancholy of Haruhi Suzumiya,"I thought that when I entered high school, my days of believing in aliens, time travelers and ESPers were going to be over. That is, until she introduced herself. Claiming to be interested in only aliens, time travelers, and ESPers, Haruhi Suzumiya was the strangest girl I've met in a long time... Before I knew what's going on, I've been dragged into her weird club, and it looks like I'm not the only one who has been drafted into this ""SOS Brigade"" of hers, because there are three other students who don't seem to be so ordinary themselves.",2006-04-03,7.9,279,No reviews
Pushing Daisies,"A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress.",2007-10-03,7.9,427,No reviews
My Little Girl,"Eight-year-old Öykü is an exceptional little girl, who unlike her peers is very empathetic and perceptive of the world around her. When her aunt, who has been her caregiver since birth, abandons her, Öykü will have to find her father, Demir. Unfortunately Demir, an irresponsible adult and a swindler who grew up in an orphanage, gets arrested the day Öykü comes to find him. Demir is released by the court on the condition that he takes care of his daughter, but Demir does not want to live with Öykü, whom he has just met - Demir and his partner-in-crime Ugur try to get rid of Öykü as they prepare for a big job. Their target, Candan has a seemingly quiet life, which only conceals her painful past. Fate will bring these people together, but none know that Öykü has a secret she cannot tell anyone.",2018-09-19,7.9,219,No reviews
"Ed, Edd n Eddy","Three adolescent boys, Ed, Edd ""Double D"", and Eddy, collectively known as ""the Eds"", constantly invent schemes to make money from their peers to purchase their favorite confectionery, jawbreakers. Their plans usually fail though, leaving them in various predicaments.",1999-01-04,7.9,764,"This was my favourite cartoon show, when I was a kid! And here's why...
Growing up, I LOVED watching this show. It was hilarious. But humour aside, it had a mature element in it that I saw; a trio of misfits ostricised by their peers and all they had was eachother. I can relate to that - I myself k"
Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021-09-17,7.9,16712,Just totally worth it.
