title,overview,release_date,rating,vote_count,review
Spies in Disguise,"Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way.",2019-12-04,7.575,2874,"It's really a rip off of Cloudy with a Chance of Meatballs and was quite disappointing. Walter is essentially like if Flint and Sam had a baby but more obnoxious with his can't-shut-his-mouth, self-righteous attitude. There's even some elements in the story taken from cloudy like the whole invention"
Brother,"Danila goes to his successful brother, Victor, in Petersburg to start a new life. Unknown to Danila, Victor is a contract killer, but is in hiding after asking for too much money to assassinate a Chechen mob boss. To avoid exposure, Victor convinces Danila to kill the boss instead.",1997-12-12,7.6,420,Danila (protagonist) is like the Russian James Bond. This is a fun movie.
The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",2004-01-17,7.574,7836,"You can't change who people are without destroying who they were. 

The Butterfly Effect - Directors Cut

The Butterfly Effect is directed by Eric Bress and Bress co-writes the screenplay with J. Mackye Gruber. It stars Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson, William Lee Scott, "
The Sea Inside,"Ramón Sampedro is a ship mechanic and part-time poet left a quadriplegic following a diving accident. Ramón fought for 30 years for the legal right to end his own life. He develops close relationships with his long-term lawyer Julia and his friend Rosa, who tries to convince him that his life is worth living. Despite his situation, Ramón manages to inspire those around him to live life to the fullest.",2004-09-03,7.6,963,No reviews
A Close Shave,"Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot.",1996-03-07,7.6,877,"""Wallace"" and ""Gromit"" are making a few extra quid running a window-cleaning business, and are summoned to ""Wendolene's Wools"" by the eponymous owner and guess what - ""Wallace"" is lovestruck! That's despite the fact that she has a menacing dog (""Preston"")! Now all of this happens amidst a sheep rust"
Persian Lessons,"Occupied France, 1942. Gilles is arrested by SS soldiers alongside other Jews and sent to a camp in Germany. He narrowly avoids sudden execution by swearing to the guards that he is not Jewish, but Persian. This lie temporarily saves him, but Gilles gets assigned a life-or-death mission: to teach Farsi to Head of Camp Koch, who dreams of opening a restaurant in Iran once the war is over. Through an ingenious trick, Gilles manages to survive by inventing words of ""Farsi"" every day and teaching them to Koch.",2020-04-17,7.6,445,No reviews
The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,7.572,13632,"The second part amends the fiasco of the first one.

Spectacular and, again, with several moments of the already classic ""platform-like"" fights on the run from these series of movies that could be enhanced if some sense would be given to them. Still, the staging of every location and, remarkably, "
Eyes Without a Face,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",1960-01-11,7.6,763,"How odd I should have to comfort you. You still have some hope, at least.

Les yeux sans visage (AKA: Eyes Without a Face) is directed by Georges Franju and collectively written by Franju, Jean Redon, Pierre Boileau, Thomas Narcejac and Claude Sautet. It stars Pierre Brasseur, Edith Scob, Alida Va"
Ex Machina,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",2015-01-21,7.573,13695,"When you think you have seen everything about AI movies, Ex Machina arrives and gives a very nice perspective on the matter.

The movie goes quick, not many things happen but they are clever, very well thought. The story is more focused in the moral problems of the human main character rather than"
Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",1979-12-07,7.6,2311,"**The struggle of women in the 70th of the last century**

To what extent can a simple social story and a familiar family problem such as separation or divorce. To what extent can it represent and reflect the condition of an entire society, the culture and morals of this society, and the social ch"
Ferris Bueller's Day Off,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",1986-06-11,7.6,5124,No reviews
Poetry,A South Korean woman in her sixties enrolls in a poetry class as she grapples with her faltering memory and her grandson's appalling wrongdoing.,2010-05-13,7.6,316,No reviews
Sword of the Stranger,"Pursued by formidable Chinese assassins, young Kotaro and his dog run into No Name, a mysterious stranger who gets pulled into the chase. The unlikely companions form a bond over saving the dog from a poison attack, but chaos erupts when the assassins find Kotaro, and No Name must face his past before a horrible fate is met again.",2007-09-29,7.571,438,No reviews
The Diving Bell and the Butterfly,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.",2007-05-23,7.573,1211,No reviews
Heroic Losers,"In a town in the Northwest of the province of Buenos Aires, a group of neighbors is organized to recover the economy of the area, but when the corralito is implemented in the country and they suffer a fraud, their hopes disappear. Now, they will unite to recover the lost money and give the blow of their lives to their greatest enemy.",2019-08-15,7.6,583,No reviews
Yu-Gi-Oh!: The Dark Side of Dimensions,"Having faced each other on countless occasions, Yugi and Kaiba again put their pride and experience to the test in a duel that transcends dimensions.",2016-04-23,7.6,448,No reviews
Facing the Giants,A losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.,2006-09-29,7.564,470,"Terrible Christian propaganda movie. The story is ridiculous, the jokes are bad. We nervously laughed while watching it because we could not believe it. A sort of gross USA caricature."
Searching,"After David Kim's 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop.",2018-08-24,7.569,4022,Impressive that viewers are able to relate to the characters despite the entire film taking place across the various tech screens of our lives.
Dolls,"Dolls takes puppeteering as its overriding motif, which relates thematically to the action provided by the live characters. Chief among those tales is the story of Matsumoto and Sawako, a young couple whose relationship is about to be broken apart by the former's parents, who have insisted their son take part in an arranged marriage to his boss' daughter.",2002-10-12,7.6,339,No reviews
Les Misérables,"Stéphane has recently joined the Anti-Crime Squad in Montfermeil, in the suburbs of Paris, France, where Victor Hugo set his famed novel “Les Miserables”. Alongside his new colleagues Chris and Gwada – both experienced members of the team – he quickly discovers tensions running high between local gangs. When the trio finds themselves overrun during the course of an arrest, a drone captures the encounter, threatening to expose the reality of everyday life.",2019-11-14,7.567,1560,"There was surprise when France chose to submit 'Les Misérables' as their entry for Best International Film at the upcoming Academy Awards rather than Céline Sciamma's beloved 'Portrait of a Lady on Fire', but the decision makes a certain degree of sense. Where 'Portrait' is a timeless instant classi"
Dragon Ball Z: Bardock - The Father of Goku,"Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre.",1990-10-17,7.567,742,No reviews
"Girl, Interrupted","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",1999-12-21,7.567,3985,"Back in the late 1990s, when it was announced that Susanna Kaysen's 1993 memoir _Girl, Interrupted_ would be turned into a movie, many actresses were reportedly fighting to join the cast that included a number of strong female leads.

In the end, Winona Ryder was chosen to play Susanna Kaysen, a t"
The Game,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",1997-09-12,7.567,6958,"The Game is one of David Fincher's lesser known films (made right in between Se7en and Fight Club). But it's every bit as great as the ones for which he's received copious amounts of praise. This intricately plotted morality tale disguised as mystery thriller is exciting, nuanced, beautiful to look "
Happy Together,A gay couple from Hong Kong takes a trip to Argentina in search of a new beginning but instead begins drifting even further apart.,1997-05-30,7.6,738,"I felt the opening few scenes offered great promise, they are gritty and illustrative not just of a sexuality, but also of the physical nature of a relationship. When the two men travel to Argentina however, on an holiday, it is quickly clear to all that the relationship is on it's last legs. They s"
Moon,"With only three weeks left in his three-year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he awakens to find that he is not alone.",2009-06-12,7.566,5946,"Gerty, we're not programmed. We're people, do you understand?

Directed by Duncan Jones and starring Sam Rockwell, Moon finds Rockwell as Sam Bell who is coming to the end of his three year contract on a lunar station working for Lunar Industries. His only companion is an intelligent computer name"
The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",2015-11-27,7.6,5840,"> An important biopic, but not inspiring.

Before this film hitting the screens, I remember many experts were expecting it doing well at the Oscars. Now it's got 4 Oscar nods, even though it is very sad the movie is a hit and miss. A slipped away opportunity, had a great storyline, but the outcome"
Cure,A detective starts spiraling out of control when a wave of gruesome murders with seemingly similar bizarre circumstances is sweeping Tokyo.,1997-12-27,7.565,666,No reviews
Guess Who's Coming to Dinner,A couple's attitudes are challenged when their daughter brings home a fiancé who is black.,1967-12-11,7.6,873,No reviews
Bao,"An aging Chinese mother suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.",2018-06-15,7.6,1243,"I thought there was a little bit of a culinary “Tom Thumb” to this as a couple pining for a child get their wish when one of their freshly steamed dumplings springs to life. It’s a lively, curious and mischievous little wrap that gets itself into all sorts of scrapes as it becomes used to human soci"
Moana,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",2016-10-13,7.564,13280,"**Girl finds out the true identity of her people.**

Okay, I shocked when I heard this film did not get the Oscars nod, except for a song. Now I have seen the film and I come to know why. This is a one liner, but developed into a longer version Except the initial parts, this film is like a limited"
Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",2006-11-14,7.564,11134,"**2006 - the year they turned Bond into a common soccer hooligan.**

In 2006, the film makers - no longer under the watchful eye of the late Cubby Broccoli decided to run away from making James Bond movies. They also cast a short blonde man as 007.  They screwed with the gun barrel and the tone of"
Cinderella Man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",2005-06-02,7.6,2287,"The stereotypical sports movie about a character which goes from glory to hell and back to the glory again.

The story is OK, but nothing new. Crowe performs well, but it is not one of his best movies. Giamatti is great, as always but Zellwegger is too cheesy in her role.

Just an entertaining m"
Gattaca,"Vincent is an all-too-human man who dares to defy a system obsessed with genetic perfection. He is an ""In-Valid"" who assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation.",1997-09-07,7.564,6605,"***The eugenics-obsessed future in 40s/50s noir***

Several decades in the future liberal eugenics is normal and discrimination is practiced to distinguish ""valids"" from ""in-valids,"" the latter conceived by natural means and therefore more susceptible to genetic defects. Vincent (Ethan Hawke) is a"
Exhuma,"After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite, a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.",2024-02-22,7.563,548,"""Kim"" (Choi Min-sik) is what they call a geomancer. He advises people on the best places for them to bury their loved ones. It's all about feng shui. Woebetide anyone who gets it wrong for a disgruntled ancestor can come back and visit retribution on anyone who mucks that process up - just ask the g"
Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",2002-11-26,7.6,4402,"Unequivocally, unmistakably, undeniably Disney's greatest animated film. A masterpiece, as far as I'm concerned. Long read ahead!

Film and reviews are all about opinions, which is only a positive thing. I, for one, though have yet to find a better animation than this. No doubt I'm probably partly"
Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021-03-24,7.562,10311,"As pure popcorn entertainment and the culmination of the Monsterverse saga, 'Godzilla vs. Kong' delivers the goods in an unexpectedly big way. This film is essential viewing for those who might like to watch a lizard punch an ape.
- Jake Watt

Read Jake's full article...
https://www.maketheswitc"
Halloween,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",1978-10-24,7.562,5878,"Once upon a time, during a long ago (but certainly not forgotten) era, a horror film's radio trailer would feature the chilling voice-over of a male commentator, whom, after presenting a teaser synopsis for the slasher film's plot (over intimations of both sound and speech from the movie of course),"
The Black Phone,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-17,7.561,5247,"The thing about adapting a short story for cinema is that we tend to get a great deal of padding to get it to the duration. This film is certainly guilty of that, with the first half hour spent on way too much character establishment that really has very little to do with the gist of the story. Once"
What We Do in the Shadows,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,2014-06-19,7.561,3710,"> The video document of the life of the vampires.

A documentary style horror comedy based on the short film of the same name by the same directors. I would say it is an interview with the vampires in the Kiwi style. The film follows a group of vampires living in an old mansion and their everyday "
Au Hasard Balthazar,"The story of a donkey Balthazar as he is passed from owner to owner, some kind and some cruel but all with motivations beyond his understanding. Balthazar, whose life parallels that of his first keeper, Marie, is truly a beast of burden, suffering the sins of humankind. But despite his powerlessness, he accepts his fate nobly.",1966-05-25,7.6,472,Devastating. Crazy to see Adele Exarchopoulos so young. You'll never hear the sound of a donkey braying the same way again
Hot Fuzz,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",2007-02-14,7.562,7917,"Homage or parody, Hot Fuzz is the best of modern British comedy.

Police Constable Nicholas Angel is the pride of the London Service, trouble is is that he is making everybody else look bad, so much so his superiors promote him to Sergeant in the sleepy village of Sandford, Gloucestershire. Yet al"
The Emperor's New Groove,"When self-centered Emperor Kuzco is turned into a llama by his scheming advisor, he is forced to rely on good-hearted peasant Pacha to get back home.",2000-12-15,7.6,7012,"Amusing film.

<em>'The Emperor’s New Groove'</em> doesn't, in my opinion, feature a great plot, amazing music or incredible animation. All of that is all fine, though it's the humour that makes this film tick. It isn't belly laugh worthy but from start-to-finish I was amused by the funny nature o"
Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",2002-06-21,7.6,6782,"It's rare that I wish a movie could keep going on and on, but Lilo & Stitch could have added a whole hour to its runtime and I would have welcomed it with open arms. This is a beautifully animated film, one of the best Disney has ever put out. Stitch has become something of a pop culture icon. Much "
I Am Sam,"Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.",2001-12-28,7.6,2362,"""I Am Sam"" is one of those movies, that touch you right where it matters and if this movie is not becoming an absoute classic, this world must be full of morons. Sean Penn plays the role of his life and he is way more impressive than Dustin Hoffman in ""Rain Man"". And that performance already can be "
Mary Poppins,"Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.",1964-12-17,7.559,4829,"Set in Edwardian London, Jane and Michael Banks are two children in a middle class London suburb. Their parents are distant from the children and each nanny they employ leaves in exasperation after the chaos the children cause.

The children's father is a banker who is cold towards them and their "
The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",1997-05-02,7.558,11196,"This movie is one of the best movies of all time! It has a great story lines and graphics of it's time and even to today's standards it is brilliant. The world is well though out and well demonstrated. Zorg is a great bad guy, played by Gary Oldman and Bruce Willis plays his role very well. All in a"
The Consequences of Love,"Lugano, Switzerland. Titta Di Girolamo is a discreet and sullen man who has been living for almost a decade in a modest hotel room, a prisoner of an atrocious routine, apparently without purpose. His past is a mystery, nobody knows what he does for a living, he answers indiscreet questions evasively. What secrets does this enigmatic man hide?",2004-09-24,7.6,868,No reviews
Gandhi,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",1982-12-01,7.557,2387,"As career defining roles go, this has to one of the more masterful efforts from Ben Kingsley who manages to engage right from the start with his sprightly, intelligent and considered portrayal of this visionary and independently minded man of peace. Arriving in South Africa, his baptism into a sea o"
Jules and Jim,"In the carefree days before World War I, introverted Austrian author Jules strikes up a friendship with the exuberant Frenchman Jim and both men fall for the impulsive and beautiful Catherine.",1962-01-23,7.6,1010,"Jeanne Moreau is superb here with her portrayal of ""Catherine"", a rather selfish and erratic woman who manipulates two men - ""Julius/Jules"" (Oskar Werner) and ""Jim"" (Henri Serre). Sometimes married to one, but in love with them both - or with neither, or maybe even not with herself - Truffaut juggle"
Police Story,"Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.",1985-12-14,7.6,949,No reviews
Where the Crawdads Sing,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",2022-07-14,7.553,2056,"By January 2022, the book had sold 12 million copies, making it one of the best-selling books of all time. Almost everyone in the theatre, yesterday afternoon, had read the book and were wondering if the movie could be as good as the book, so in my exit poll, of a dozen, or so, viewers, I asked then"
Hidden Kisses,"Nathan, 16, lives alone with his father Stephane. A newcomer in high school, he is invited to a party and falls in love with Louis, a boy in his class. They find themselves out of sight and kiss each other, but someone takes a picture of them. Soon, the photo is published on Facebook and a storm overtakes their lives as they face bullying and rejection.",2016-02-04,7.6,314,"At times this does rather stretch the bounds of plausibility at a school in 21st century France, but the sentiment behind it is quite worryingly potent. A photo emerges of a kiss! We know that one of the kissers is ""Nathan"" (Bérenger Anceaux) but who is the other? What piques the curiosity of his sc"
"Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",2008-10-24,7.553,1495,"This truly is a film about everything, and everyone. It is a film about conscious existence and subconscious being, a film about love, a film about death, and the art and emotion expanding in between the longing sonder and emptiness. Synecdoche, New York is sonder as meta-cinematic expression. Life "
Evil Dead II,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",1987-03-13,7.552,3284,"The Flaming Groovy!

Yes indeed, Sam Raimi and Bruce Campbell are back to shake some action with this remake of their own The Evil Dead (1981), only this time with more money and more overt humour. A quick prologue sets things up nicely, then BAM! Ash (Campbell) and his squeeze are in the cabin of"
Beautiful Boy,"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",2018-10-12,7.551,2705,"Inspired by a father and son’s dual memoirs (Beatiful Boy and Tweak, respectively), Felix Van Groeningen’s heartfelt adaptation portrays the relationship between David (Steve Carell) and Nic Sheff (Timothée Chalamet), as both struggle through the latter’s drug addiction.

There are about a billion"
The Wizards Return: Alex vs. Alex,"While trying to prove to her family she can be mature and responsible, teen wizard Alex Russo conjures up a spell to rid herself of her bad qualities, unintentionally creating a Good and Evil Alex. When Evil Alex gets involved in a plan to take over the world by a dark wizard, Good Alex must find a way to save her family, humankind, and ultimately herself in an epic Good vs. Evil battle.",2013-06-01,7.562,932,No reviews
Secrets & Lies,"After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She's shocked when her research leads her to Cynthia, a working class white woman.",1996-05-24,7.6,685,"SECRETS AND LIES is a 1996 film by Mike Leigh that, appropriately enough, is concerned with the things that members of a family conceal from each other.

Hortense (Marianne Jean-Baptiste), a black woman in London who has made a successful career as an optician, knew from a young age that she was a"
Paisan,"During the Allied invasion of Italy in World War II, six stories unfold in various regions, from Sicily to the northern Po Valley. These tales follow the interactions between American soldiers and Italian civilians as they navigate their way through language barriers and cultural differences.",1946-12-10,7.6,324,"As the Allies begin their invasion of Italy in 1943, Roberto Rossellini tells us half a dozen stories that might have occurred as the largely American army made their way through the country heading for Rome. These stories are not connected in any individual way, only by virtue of their providing so"
Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",2006-12-08,7.551,7950,"I watched on Netflix and it was a very good film. 
The film isn't all action and shows the living conditions there. Djimon Hounsou, Leonardo DiCaprio and Jennifer Connelly were very good in the film"
East of Eden,"In the Salinas Valley in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother for the love of their father. Cal is frustrated at every turn, from his reaction to the war, how to get ahead in business and in life, and how to relate to his estranged mother.",1955-04-10,7.6,774,No reviews
Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024-06-11,7.5,6117,"""Inside Out 2"" is a heartwarming and imaginative sequel that successfully builds on the emotional depth of its predecessor. Directed by Kelsey Mann, the film revisits Riley as she navigates the complexities of teenage life, with her emotions—Joy, Sadness, Anger, Fear, and Disgust—returning to guide "
My Man Godfrey,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two.",1936-09-02,7.5,367,"""Forgotten Man"" meets flighty, rich heiress . . . and so begins one of classic cinema's funniest, most delightful, most intelligent comedies ever. William Powell as the hobo Godfrey hits all the right notes. Carole Lombard is terrific, if slightly over the top, as Irene Bullock, the ""uptown girl loo"
The Fallout,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",2021-03-17,7.548,1231,"Full Analysis at Spotamovie.com **- Intro -** Released in 2021, The Fallout is a movie that doesn’t have any reason to exist, if only we live in a healthy world. It’s a drama, full of solid emotions gradually delivered. It is the denunciation of those crimes that disrupt the lives of adolescents, fa"
The Seven Deadly Sins: Prisoners of the Sky,"Traveling in search of the rare ingredient, “sky fish”  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Black—a Demon Clan army—removes the seal on the beast, threatening the lives of everyone in the Sky Palace.",2018-08-18,7.5,1053,"An excellent movie, I consider this movie as an excellent piece of animation of all times._italic text_"
They Call Me Trinity,"The simple story has the pair coming to the rescue of peace-loving Mormons when land-hungry Major Harriman sends his bullies to harass them into giving up their fertile valley. Trinity and Bambino manage to save the Mormons and send the bad guys packing with slapstick humor instead of excessive violence, saving the day.",1970-12-22,7.5,1376,No reviews
The Wolf's Call,"Shown from the perspective of a young submariner with unusually sensitive hearing and uncannily precise sound recognition. The fate of many often depends on his ability, and one time, whilst highly stressed, he makes a incorrect call which put his entire crew in mortal danger.  Trying to regain the confidence of his comrades, he conducts an unauthorised investigation of an apparent plot which, it turns out, risks escalating into a nuclear apocalypse. Suddenly working under pressure with the fleet admiral, they must do whatever is necessary, even the unthinkable, to prevent a nuclear war, since a confirmed nuclear strike order cannot be countermanded.",2019-02-20,7.548,2087,"Me and my kids where shopping for other stuff at FNAC in Geneva, our go to store for not too advanced stuff in audio, video and computer gadgets, when we found this movie.

I made a quick search on IMDb and it looked like it might, finally, be a good French made movie. Apart from Louis de Funès co"
We Need to Talk About Kevin,"After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.",2011-09-28,7.548,2940,"Deeply disturbing and utterly engaging.

Not one I can really see myself watching again. But I'm very glad to have watched it the once. Superbly cast and acted. Brilliant photographed and amazing direction. Not to be missed for those who can handle the subject matter.

_Final rating:★★★½ - I str"
True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",1993-09-09,7.548,2867,"The King, Chiba, White Boy Day and Love…Bloody Love.

True Romance is directed by Tony Scott and written by Quentin Tarantino. It stars Christian Slater, Patricia Arquette, Dennis Hopper, Brad Pitt, Val Kilmer, Gary Oldman, Michael Rapaport, Christopher Walken, James Gandolfini, Chris Penn, Tom Si"
The Round Up,"A faithful retelling of the 1942 ""Vel' d'Hiv Roundup"" and the events surrounding it.",2010-03-10,7.546,1025,No reviews
Manchester by the Sea,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",2016-11-17,7.5,6094,"I watched this movie based on its high score, I found the movie to be too long and maybe should have been edited down to 90 minutes or less. I usually go for exteneded versions of movies as I like to really get into the characters and don't normally like it to be over to quickly.
This was one of th"
"Ugly, Dirty and Bad","Giacinto lives with his wife, their ten children and various other family members in a shack on the hills of Rome. Some time ago he has lost his left eye while at work, and got a consistent sum of money from the insurance company, which he keeps hidden from the rest of the family. His whole life is now based on defending the money he sees as his own, while the rest of the family tries to kill him.",1976-09-23,7.5,324,No reviews
"4 Months, 3 Weeks and 2 Days",Two college roommates have 24 hours to make the ultimate choice as they finalize arrangements for a black market abortion.,2007-08-24,7.5,767,No reviews
